Unnamed: 0,Rk,Team,G,MP,MPgame,FG,FG game,FGA,FGA game,FG%,3P,3P game,3PA,3PA game,3P%,2P,2P game,2PA,2PA game,2P%,FT,FT game,FTA,FTA game,FT%,ORB,ORB game,DRB,DRB game,TRB,TRB game,AST,AST game,STL,STL game,BLK,BLK game,TOV,TOV game,PF,PF game,PTS,PTS game,1
2,3,Portland Trail Blazers*,82,19730,240.6097561,3623,44.18292683,7537,91.91463415,0.481,,0,,0,,3623,44.18292683,7537,91.91463415,0.481,1917,23.37804878,2515,30.67073171,0.762,1260,15.36585366,2703,32.96341463,3963,48.32926829,1990,24.26829268,868,10.58536585,492,6,1757,21.42682927,2220,27.07317073,9163,111.7439024,1
6,7,Washington Bullets*,82,19830,241.8292683,3580,43.65853659,7772,94.7804878,0.461,,0,,0,,3580,43.65853659,7772,94.7804878,0.461,1887,23.01219512,2655,32.37804878,0.711,1349,16.45121951,2815,34.32926829,4164,50.7804878,1948,23.75609756,668,8.146341463,386,4.707317073,1613,19.67073171,1879,22.91463415,9047,110.3292683,1
18,19,Seattle SuperSonics*,82,19755,240.9146341,3504,42.73170732,7484,91.26829268,0.468,,0,,0,,3504,42.73170732,7484,91.26829268,0.468,1732,21.12195122,2298,28.02439024,0.754,1310,15.97560976,2591,31.59756098,3901,47.57317073,1973,24.06097561,690,8.414634146,398,4.853658537,1586,19.34146341,1914,23.34146341,8740,106.5853659,1
1,2,Los Angeles Lakers*,82,19880,242.4390244,3898,47.53658537,7368,89.85365854,0.529,20,0.243902439,100,1.219512195,0.2,3878,47.29268293,7268,88.63414634,0.534,1622,19.7804878,2092,25.51219512,0.775,1085,13.23170732,2653,32.35365854,3738,45.58536585,2413,29.42682927,774,9.43902439,546,6.658536585,1639,19.98780488,1784,21.75609756,9438,115.097561,1
7,8,Boston Celtics*,82,19780,241.2195122,3581,43.67073171,7099,86.57317073,0.504,65,0.792682927,241,2.93902439,0.27,3516,42.87804878,6858,83.63414634,0.513,1781,21.7195122,2369,28.8902439,0.752,1155,14.08536585,2424,29.56097561,3579,43.64634146,2202,26.85365854,683,8.329268293,594,7.243902439,1577,19.23170732,1990,24.26829268,9008,109.8536585,1
1,2,Los Angeles Lakers*,82,19855,242.1341463,3919,47.79268293,7585,92.5,0.517,13,0.158536585,94,1.146341463,0.138,3906,47.63414634,7491,91.35365854,0.521,1549,18.8902439,2161,26.35365854,0.717,1258,15.34146341,2505,30.54878049,3763,45.8902439,2356,28.73170732,848,10.34146341,517,6.304878049,1468,17.90243902,1999,24.37804878,9400,114.6341463,1
6,7,Boston Celtics*,82,19955,243.3536585,3616,44.09756098,7235,88.23170732,0.5,55,0.670731707,229,2.792682927,0.24,3561,43.42682927,7006,85.43902439,0.508,1907,23.25609756,2407,29.35365854,0.792,1159,14.13414634,2538,30.95121951,3697,45.08536585,2122,25.87804878,673,8.207317073,430,5.243902439,1420,17.31707317,1949,23.76829268,9194,112.1219512,1
1,2,Los Angeles Lakers*,82,19755,240.9146341,3952,48.19512195,7254,88.46341463,0.545,90,1.097560976,295,3.597560976,0.305,3862,47.09756098,6959,84.86585366,0.555,1702,20.75609756,2232,27.2195122,0.763,1063,12.96341463,2550,31.09756098,3613,44.06097561,2575,31.40243902,695,8.475609756,481,5.865853659,1537,18.74390244,1931,23.54878049,9696,118.2439024,1
7,8,Boston Celtics*,82,19855,242.1341463,3718,45.34146341,7312,89.17073171,0.508,138,1.682926829,393,4.792682927,0.351,3580,43.65853659,6919,84.37804878,0.517,1785,21.76829268,2248,27.41463415,0.794,1054,12.85365854,2753,33.57317073,3807,46.42682927,2387,29.1097561,641,7.817073171,511,6.231707317,1360,16.58536585,1756,21.41463415,9359,114.1341463,1
1,2,Los Angeles Lakers*,82,19730,240.6097561,3740,45.6097561,7245,88.35365854,0.516,164,2,447,5.451219512,0.367,3576,43.6097561,6798,82.90243902,0.526,2012,24.53658537,2550,31.09756098,0.789,1127,13.74390244,2515,30.67073171,3642,44.41463415,2428,29.6097561,728,8.87804878,482,5.87804878,1358,16.56097561,1853,22.59756098,9656,117.7560976,1
4,5,Los Angeles Lakers*,82,19805,241.5243902,3576,43.6097561,7078,86.31707317,0.505,142,1.731707317,478,5.829268293,0.297,3434,41.87804878,6600,80.48780488,0.52,1956,23.85365854,2480,30.24390244,0.789,1073,13.08536585,2491,30.37804878,3564,43.46341463,2347,28.62195122,672,8.195121951,404,4.926829268,1318,16.07317073,1715,20.91463415,9250,112.804878,1
15,16,Detroit Pistons*,82,19830,241.8292683,3395,41.40243902,6879,83.8902439,0.494,120,1.463414634,400,4.87804878,0.3,3275,39.93902439,6479,79.01219512,0.505,1830,22.31707317,2379,29.01219512,0.769,1154,14.07317073,2546,31.04878049,3700,45.12195122,2027,24.7195122,522,6.365853659,406,4.951219512,1336,16.29268293,1939,23.64634146,8740,106.5853659,1
18,19,Detroit Pistons*,82,19805,241.5243902,3333,40.64634146,6980,85.12195122,0.478,177,2.158536585,541,6.597560976,0.327,3156,38.48780488,6439,78.52439024,0.49,1713,20.8902439,2252,27.46341463,0.761,1185,14.45121951,2458,29.97560976,3643,44.42682927,1996,24.34146341,512,6.243902439,418,5.097560976,1233,15.03658537,1961,23.91463415,8556,104.3414634,1
6,7,Chicago Bulls*,82,19755,240.9146341,3632,44.29268293,7125,86.8902439,0.51,155,1.890243902,424,5.170731707,0.366,3477,42.40243902,6701,81.7195122,0.519,1605,19.57317073,2111,25.74390244,0.76,1148,14,2342,28.56097561,3490,42.56097561,2212,26.97560976,822,10.02439024,438,5.341463415,1184,14.43902439,1751,21.35365854,9024,110.0487805,1
4,5,Chicago Bulls*,82,19830,241.8292683,3643,44.42682927,7168,87.41463415,0.508,138,1.682926829,454,5.536585366,0.304,3505,42.74390244,6714,81.87804878,0.522,1587,19.35365854,2132,26,0.744,1173,14.30487805,2439,29.74390244,3612,44.04878049,2279,27.79268293,672,8.195121951,480,5.853658537,1088,13.26829268,1693,20.64634146,9011,109.8902439,1
14,15,Chicago Bulls*,82,19830,241.8292683,3475,42.37804878,7205,87.86585366,0.482,244,2.975609756,669,8.158536585,0.365,3231,39.40243902,6536,79.70731707,0.494,1431,17.45121951,1952,23.80487805,0.733,1290,15.73170732,2283,27.84146341,3573,43.57317073,2133,26.01219512,783,9.548780488,410,5,1103,13.45121951,1804,22,8625,105.1829268,1
12,13,Houston Rockets*,82,19780,241.2195122,3197,38.98780488,6733,82.1097561,0.475,429,5.231707317,1285,15.67073171,0.334,2768,33.75609756,5448,66.43902439,0.508,1469,17.91463415,1978,24.12195122,0.743,926,11.29268293,2619,31.93902439,3545,43.23170732,2087,25.45121951,717,8.743902439,485,5.914634146,1338,16.31707317,1646,20.07317073,8292,101.1219512,1
7,8,Houston Rockets*,82,19730,240.6097561,3159,38.52439024,6579,80.23170732,0.48,646,7.87804878,1757,21.42682927,0.368,2513,30.64634146,4822,58.80487805,0.521,1527,18.62195122,2039,24.86585366,0.749,880,10.73170732,2440,29.75609756,3320,40.48780488,2060,25.12195122,721,8.792682927,514,6.268292683,1322,16.12195122,1714,20.90243902,8491,103.5487805,1
0,1,Chicago Bulls*,82,19730,240.6097561,3293,40.15853659,6892,84.04878049,0.478,544,6.634146341,1349,16.45121951,0.403,2749,33.52439024,5543,67.59756098,0.496,1495,18.23170732,2004,24.43902439,0.746,1247,15.20731707,2411,29.40243902,3658,44.6097561,2033,24.79268293,745,9.085365854,345,4.207317073,1175,14.32926829,1807,22.03658537,8625,105.1829268,1
0,1,Chicago Bulls*,82,19730,240.6097561,3277,39.96341463,6923,84.42682927,0.473,523,6.37804878,1403,17.1097561,0.373,2754,33.58536585,5520,67.31707317,0.499,1381,16.84146341,1848,22.53658537,0.747,1235,15.06097561,2461,30.01219512,3696,45.07317073,2142,26.12195122,716,8.731707317,332,4.048780488,1109,13.52439024,1617,19.7195122,8458,103.1463415,1
8,9,Chicago Bulls*,82,19855,242.1341463,3064,37.36585366,6801,82.93902439,0.451,311,3.792682927,962,11.73170732,0.323,2753,33.57317073,5839,71.20731707,0.471,1492,18.19512195,2009,24.5,0.743,1243,15.15853659,2438,29.73170732,3681,44.8902439,1952,23.80487805,696,8.487804878,353,4.304878049,1178,14.36585366,1691,20.62195122,7931,96.7195122,1
12,13,San Antonio Spurs*,50,12075,241.5,1740,34.8,3812,76.24,0.456,172,3.44,521,10.42,0.33,1568,31.36,3291,65.82,0.476,988,19.76,1415,28.3,0.698,614,12.28,1584,31.68,2198,43.96,1101,22.02,421,8.42,351,7.02,759,15.18,1010,20.2,4640,92.8,1
5,6,Los Angeles Lakers*,82,19805,241.5243902,3137,38.25609756,6836,83.36585366,0.459,344,4.195121951,1047,12.76829268,0.329,2793,34.06097561,5789,70.59756098,0.482,1649,20.1097561,2368,28.87804878,0.696,1117,13.62195122,2738,33.3902439,3855,47.01219512,1921,23.42682927,613,7.475609756,534,6.512195122,1143,13.93902439,1841,22.45121951,8267,100.8170732,1
2,3,Los Angeles Lakers*,82,19905,242.7439024,3109,37.91463415,6685,81.52439024,0.465,439,5.353658537,1275,15.54878049,0.344,2670,32.56097561,5410,65.97560976,0.494,1594,19.43902439,2333,28.45121951,0.683,1085,13.23170732,2583,31.5,3668,44.73170732,1888,23.02439024,564,6.87804878,490,5.975609756,1184,14.43902439,1872,22.82926829,8251,100.6219512,1
2,3,Los Angeles Lakers*,82,19780,241.2195122,3150,38.41463415,6840,83.41463415,0.461,510,6.219512195,1439,17.54878049,0.354,2640,32.19512195,5401,65.86585366,0.489,1494,18.2195122,2138,26.07317073,0.699,1022,12.46341463,2607,31.79268293,3629,44.25609756,1882,22.95121951,625,7.62195122,478,5.829268293,1040,12.68292683,1823,22.23170732,8304,101.2682927,1
11,12,San Antonio Spurs*,82,19830,241.8292683,2908,35.46341463,6297,76.79268293,0.462,449,5.475609756,1270,15.48780488,0.354,2459,29.98780488,5027,61.30487805,0.489,1591,19.40243902,2194,26.75609756,0.725,939,11.45121951,2556,31.17073171,3495,42.62195122,1636,19.95121951,629,7.670731707,529,6.451219512,1295,15.79268293,1672,20.3902439,7856,95.80487805,1
23,24,Detroit Pistons*,82,19780,241.2195122,2747,33.5,6314,77,0.435,333,4.06097561,968,11.80487805,0.344,2414,29.43902439,5346,65.19512195,0.452,1561,19.03658537,2074,25.29268293,0.753,1014,12.36585366,2492,30.3902439,3506,42.75609756,1702,20.75609756,659,8.036585366,570,6.951219512,1241,15.13414634,1664,20.29268293,7388,90.09756098,1
17,18,San Antonio Spurs*,82,19805,241.5243902,2923,35.64634146,6450,78.65853659,0.453,507,6.182926829,1395,17.01219512,0.363,2416,29.46341463,5055,61.64634146,0.478,1535,18.7195122,2120,25.85365854,0.724,987,12.03658537,2489,30.35365854,3476,42.3902439,1771,21.59756098,613,7.475609756,543,6.62195122,1126,13.73170732,1717,20.93902439,7888,96.19512195,1
5,6,Miami Heat*,82,19755,240.9146341,3039,37.06097561,6355,77.5,0.478,497,6.06097561,1441,17.57317073,0.345,2542,31,4914,59.92682927,0.517,1616,19.70731707,2310,28.17073171,0.7,858,10.46341463,2675,32.62195122,3533,43.08536585,1692,20.63414634,522,6.365853659,442,5.390243902,1186,14.46341463,1871,22.81707317,8191,99.8902439,1
13,14,San Antonio Spurs*,82,19780,241.2195122,2999,36.57317073,6328,77.17073171,0.474,595,7.256097561,1561,19.03658537,0.381,2404,29.31707317,4767,58.13414634,0.504,1486,18.12195122,1980,24.14634146,0.751,761,9.280487805,2577,31.42682927,3338,40.70731707,1814,22.12195122,587,7.158536585,417,5.085365854,1137,13.86585366,1588,19.36585366,8079,98.52439024,1
10,11,Boston Celtics*,82,19755,240.9146341,2986,36.41463415,6286,76.65853659,0.475,596,7.268292683,1564,19.07317073,0.381,2390,29.14634146,4722,57.58536585,0.506,1677,20.45121951,2176,26.53658537,0.771,830,10.12195122,2615,31.8902439,3445,42.01219512,1833,22.35365854,696,8.487804878,379,4.62195122,1246,15.19512195,1864,22.73170732,8245,100.5487805,1
2,3,Los Angeles Lakers*,82,19780,241.2195122,3307,40.32926829,6981,85.13414634,0.474,547,6.670731707,1516,18.48780488,0.361,2760,33.65853659,5465,66.64634146,0.505,1607,19.59756098,2087,25.45121951,0.77,1015,12.37804878,2587,31.54878049,3602,43.92682927,1908,23.26829268,718,8.756097561,420,5.12195122,1103,13.45121951,1698,20.70731707,8768,106.9268293,1
11,12,Los Angeles Lakers*,82,19830,241.8292683,3144,38.34146341,6875,83.84146341,0.457,532,6.487804878,1562,19.04878049,0.341,2612,31.85365854,5313,64.79268293,0.492,1519,18.52439024,1985,24.20731707,0.765,973,11.86585366,2662,32.46341463,3635,44.32926829,1730,21.09756098,612,7.463414634,400,4.87804878,1096,13.36585366,1592,19.41463415,8339,101.695122,1
10,11,Dallas Mavericks*,82,19705,240.304878,3069,37.42682927,6463,78.81707317,0.475,645,7.865853659,1768,21.56097561,0.365,2424,29.56097561,4695,57.25609756,0.516,1437,17.52439024,1850,22.56097561,0.777,780,9.512195122,2618,31.92682927,3398,41.43902439,1954,23.82926829,557,6.792682927,352,4.292682927,1145,13.96341463,1575,19.20731707,8220,100.2439024,1
6,7,Miami Heat*,66,16040,243.030303,2446,37.06060606,5212,78.96969697,0.469,370,5.606060606,1030,15.60606061,0.359,2076,31.45454545,4182,63.36363636,0.496,1238,18.75757576,1598,24.21212121,0.775,686,10.39393939,2060,31.21212121,2746,41.60606061,1317,19.95454545,585,8.863636364,355,5.378787879,1002,15.18181818,1282,19.42424242,6500,98.48484848,1
4,5,Miami Heat*,82,19880,242.4390244,3148,38.3902439,6348,77.41463415,0.496,717,8.743902439,1809,22.06097561,0.396,2431,29.64634146,4539,55.35365854,0.536,1423,17.35365854,1887,23.01219512,0.754,676,8.243902439,2490,30.36585366,3166,38.6097561,1890,23.04878049,710,8.658536585,441,5.37804878,1143,13.93902439,1533,18.69512195,8436,102.8780488,1
5,6,San Antonio Spurs*,82,19755,240.9146341,3326,40.56097561,6844,83.46341463,0.486,698,8.512195122,1757,21.42682927,0.397,2628,32.04878049,5087,62.03658537,0.517,1289,15.7195122,1642,20.02439024,0.785,762,9.292682927,2786,33.97560976,3548,43.26829268,2064,25.17073171,604,7.365853659,420,5.12195122,1180,14.3902439,1495,18.23170732,8639,105.3536585,1
0,1,Golden State Warriors*,82,19730,240.6097561,3410,41.58536585,7137,87.03658537,0.478,883,10.76829268,2217,27.03658537,0.398,2527,30.81707317,4920,60,0.514,1313,16.01219512,1709,20.84146341,0.768,853,10.40243902,2814,34.31707317,3667,44.7195122,2248,27.41463415,762,9.292682927,496,6.048780488,1185,14.45121951,1628,19.85365854,9016,109.9512195,1
7,8,Cleveland Cavaliers*,82,19855,242.1341463,3171,38.67073171,6888,84,0.46,880,10.73170732,2428,29.6097561,0.362,2291,27.93902439,4460,54.3902439,0.514,1333,16.25609756,1783,21.74390244,0.748,873,10.64634146,2777,33.86585366,3650,44.51219512,1861,22.69512195,551,6.719512195,317,3.865853659,1114,13.58536585,1666,20.31707317,8555,104.3292683,1
0,1,Golden State Warriors*,82,19780,241.2195122,3532,43.07317073,7140,87.07317073,0.495,982,11.97560976,2562,31.24390244,0.383,2550,31.09756098,4578,55.82926829,0.557,1457,17.76829268,1850,22.56097561,0.788,770,9.390243902,2873,35.03658537,3643,44.42682927,2491,30.37804878,785,9.573170732,555,6.768292683,1211,14.76829268,1585,19.32926829,9503,115.8902439,1
0,1,Golden State Warriors*,82,19730,240.6097561,3509,42.79268293,6981,85.13414634,0.503,926,11.29268293,2370,28.90243902,0.391,2583,31.5,4611,56.23170732,0.56,1360,16.58536585,1668,20.34146341,0.815,691,8.426829268,2877,35.08536585,3568,43.51219512,2402,29.29268293,656,8,612,7.463414634,1267,15.45121951,1607,19.59756098,9304,113.4634146,1
7,8,Toronto Raptors*,82,19880,242.4390244,3460,42.19512195,7305,89.08536585,0.474,1015,12.37804878,2771,33.79268293,0.366,2445,29.81707317,4534,55.29268293,0.539,1449,17.67073171,1803,21.98780488,0.804,786,9.585365854,2920,35.6097561,3706,45.19512195,2085,25.42682927,680,8.292682927,437,5.329268293,1150,14.02439024,1724,21.02439024,9384,114.4390244,1
15,16,Los Angeles Lakers*,71,17090,240.7042254,3006,42.33802817,6269,88.29577465,0.48,782,11.01408451,2242,31.57746479,0.349,2224,31.32394366,4027,56.71830986,0.552,1260,17.74647887,1728,24.33802817,0.729,757,10.66197183,2490,35.07042254,3247,45.73239437,1803,25.3943662,612,8.61971831,468,6.591549296,1077,15.16901408,1471,20.71830986,8054,113.4366197,1
0,1,Milwaukee Bucks*,72,17330,240.6944444,3221,44.73611111,6610,91.80555556,0.487,1038,14.41666667,2669,37.06944444,0.389,2183,30.31944444,3941,54.73611111,0.554,1169,16.23611111,1539,21.375,0.76,741,10.29166667,2724,37.83333333,3465,48.125,1834,25.47222222,585,8.125,334,4.638888889,995,13.81944444,1244,17.27777778,8649,120.125,1
0,1,San Antonio Spurs*,82,19755,240.9146341,3711,45.25609756,7657,93.37804878,0.485,,0,,0,,3711,45.25609756,7657,93.37804878,0.485,2010,24.51219512,2522,30.75609756,0.797,1110,13.53658537,2550,31.09756098,3660,44.63414634,2115,25.79268293,857,10.45121951,499,6.085365854,1770,21.58536585,1966,23.97560976,9432,115.0243902,0
1,2,Denver Nuggets*,82,19780,241.2195122,3590,43.7804878,7471,91.1097561,0.481,,0,,0,,3590,43.7804878,7471,91.1097561,0.481,2053,25.03658537,2783,33.93902439,0.738,1288,15.70731707,2700,32.92682927,3988,48.63414634,2262,27.58536585,953,11.62195122,471,5.743902439,2011,24.52439024,2142,26.12195122,9233,112.597561,0
3,4,Golden State Warriors*,82,19780,241.2195122,3724,45.41463415,7832,95.51219512,0.475,,0,,0,,3724,45.41463415,7832,95.51219512,0.475,1649,20.1097561,2172,26.48780488,0.759,1300,15.85365854,2639,32.18292683,3939,48.03658537,2120,25.85365854,904,11.02439024,432,5.268292683,1624,19.80487805,2058,25.09756098,9097,110.9390244,0
4,5,Philadelphia 76ers*,82,19780,241.2195122,3511,42.81707317,7322,89.29268293,0.48,,0,,0,,3511,42.81707317,7322,89.29268293,0.48,2012,24.53658537,2732,33.31707317,0.736,1293,15.76829268,2752,33.56097561,4045,49.32926829,1966,23.97560976,814,9.926829268,561,6.841463415,1915,23.35365854,2074,25.29268293,9034,110.1707317,0
5,6,Detroit Pistons*,82,19730,240.6097561,3764,45.90243902,7792,95.02439024,0.483,,0,,0,,3764,45.90243902,7792,95.02439024,0.483,1442,17.58536585,1960,23.90243902,0.736,1169,14.25609756,2495,30.42682927,3664,44.68292683,2004,24.43902439,877,10.69512195,459,5.597560976,1718,20.95121951,2200,26.82926829,8970,109.3902439,0
6,7,New York Knicks,82,19755,240.9146341,3659,44.62195122,7530,91.82926829,0.486,,0,,0,,3659,44.62195122,7530,91.82926829,0.486,1587,19.35365854,2078,25.34146341,0.764,974,11.87804878,2680,32.68292683,3654,44.56097561,1956,23.85365854,714,8.707317073,304,3.707317073,1680,20.48780488,2007,24.47560976,8905,108.597561,0
7,8,Milwaukee Bucks,82,19705,240.304878,3668,44.73170732,7840,95.6097561,0.468,,0,,0,,3668,44.73170732,7840,95.6097561,0.468,1553,18.93902439,2072,25.26829268,0.75,1220,14.87804878,2519,30.7195122,3739,45.59756098,1970,24.02439024,790,9.634146341,342,4.170731707,1648,20.09756098,2094,25.53658537,8889,108.402439,0
